fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,std_macro_f1,task
0.2571734715|0.2747816209|0.2910545027,,,,,0.6695658820214264,0.29626855661801027,0.2743365316854026,0.6725596188979868,0.013835453156827679,S6
0.4638865882|0.4854793250|0.4874759748,,,,,0.647015912703787,0.5215553949808108,0.47894729602066405,0.671130287127001,0.010680678567046999,S3
0.6329105985|0.6410140273|0.6465767774,0.4176706493432727,0.34791385187844925,0.5237958433931188,PASS,0.7779163879536082,0.67360093675186,0.6401671343990577,0.7949917824702135,0.005611240595982199,S2
