absolute_delta,b15_fold_macro_f1,b15_mean_macro_f1,b16_fold_macro_f1,b16_fold_wins,b16_mean_macro_f1,fold_deltas,new_development_winner,relative_delta_percent,task
-0.003286470323021151,0.2613986069|0.2785996310|0.2928707682,0.27762300200842377,0.2571734715|0.2747816209|0.2910545027,0,0.2743365316854026,-0.0042251354|-0.0038180101|-0.0018162655,NO,-1.1837889149118241,S6
-0.0011620653658396818,0.4640852592|0.4878607889|0.4883820361,0.48010936138650373,0.4638865882|0.4854793250|0.4874759748,0,0.47894729602066405,-0.0001986710|-0.0023814639|-0.0009060613,NO,-0.2420418053261372,S3
-0.0019947404695073168,0.6350932357|0.6431128547|0.6482795341,0.642161874868565,0.6329105985|0.6410140273|0.6465767774,0,0.6401671343990577,-0.0021826372|-0.0020988274|-0.0017027567,NO,-0.31062891578787544,S2
