accuracy,balanced_accuracy,fold,macro_f1,task,weighted_f1
0.6701687360713149,0.27088870222565437,1,0.2571734715292097,S6,0.669616410316715
0.6810193852285766,0.292259754725716,2,0.2747816208561774,S6,0.67868927932346
0.6575095247643874,0.3256572129026605,3,0.2910545026708207,S6,0.6693731670537854
0.6504496975485514,0.49463248407533894,1,0.463886588231268,S3,0.6710737229379612
0.6586750407633312,0.5211610535105986,2,0.485479324997971,S3,0.680066995882758
0.6319229997994786,0.548872647356495,3,0.48747597483275323,S3,0.6622501425602836
0.763650111429481,0.6685157059011442,1,0.6329105985420719,S2,0.7829611291039017
0.791915775912394,0.6646260298081643,2,0.6410140272977842,S2,0.8046642749803385
0.7781832765189493,0.6876610745462713,3,0.6465767773573169,S2,0.7973499433264005
