b3_absolute_delta,b3_mean_macro_f1,b3_relative_delta_percent,system,system_mean_macro_f1,task
-0.0032754956691325443,0.2743475063392912,-1.1798358368854314,B1.5 hybrid,0.27762300200842377,S6
-0.0033595369216282145,0.4767498244648755,-0.6997440982875728,B1.5 hybrid,0.48010936138650373,S3
-0.0017271769732150055,0.64043469789535,-0.26896286447533446,B1.5 hybrid,0.642161874868565,S2
1.0974653888606856e-05,0.2743475063392912,0.0040004347292660674,B1.6 long-text MPNet fusion,0.2743365316854026,S6
-0.0021974715557885327,0.4767498244648755,-0.4588128117741213,B1.6 long-text MPNet fusion,0.47894729602066405,S3
0.00026756349629231124,0.64043469789535,0.04179588140579575,B1.6 long-text MPNet fusion,0.6401671343990577,S2
0.08733804127977443,0.2743475063392912,46.70247104978276,B2-Lite,0.1870094650595168,S6
0.08425716311931647,0.4767498244648755,21.467194528035936,B2-Lite,0.39249266134555905,S3
0.07036188989890502,0.64043469789535,12.34261464710027,B2-Lite,0.570072807996445,S2
0.003921964271112188,0.2743475063392912,1.4502935784532485,A2 classical,0.27042554206817904,S6
0.0071888826972970055,0.4767498244648755,1.530979699937507,A2 classical,0.4695609417675785,S3
0.003098257400084292,0.64043469789535,0.48612588316410676,A2 classical,0.6373364404952657,S2
0.023122901752918867,0.2743475063392912,9.204075289914165,B1 frozen MPNet,0.25122460458637236,S6
0.016404080347921013,0.4767498244648755,3.5634260895335714,B1 frozen MPNet,0.4603457441169545,S3
0.06503536336301752,0.64043469789535,11.30264834523598,B1 frozen MPNet,0.5753993345323325,S2
