fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,std_macro_f1,task
0.2528602453|0.2768066652|0.2933756085,,,,,0.6766978500773906,0.2929596213675598,0.2743475063392912,0.676061236908872,0.016631481430950695,S6
0.4570827957|0.4848489828|0.4883176949,,,,,0.6493371900561744,0.5177646646943874,0.4767498244648755,0.672550113396089,0.013978602835557085,S3
0.6317775537|0.6421600370|0.6473665029,0.4162352906297877,0.3500283491877423,0.5147643166773945,PASS,0.7804030534480622,0.6713645660261838,0.64043469789535,0.7964394643212641,0.006480042740282148,S2
