scope,project_count,projects,text_sha256,row_count,sample_issue_ids
cross_project,4,CDT|EQUINOX|MYLYN|TPTP,658f5b35f0b3ce130010b3579d2c79d6dd79c4b8dbe42df0636be34550734caf,4,254202|254200|254193
cross_project,2,CDT|JDT,817395a7fa77148cdef32444516c1ba881089331e6a6c7f25c4e0aab91c34c27,2,60019|60021
cross_project,2,CDT|MYLYN,9068092792da2f2d979b6a32f0eb859719bcedb2f329736a801d7dca6dbb3bbb,3,199681|460686|394528
cross_project,2,CDT|PDE,36c4d334d68fbf1e61facf2b4611fd82d4a8a3668261cbc53acc294cfa8ca5b1,2,576600|576598
cross_project,2,CDT|PLATFORM,3bb38c9f52b5863315c57e8d4b0693cb5098d6813f55046a5c86854393648026,2,533841|539533
cross_project,2,CDT|PLATFORM,93dd83ac2df37da4328a37925428adc2d76dda5f08ad05015453545db8c7dce9,2,558565|558564
cross_project,2,CDT|PLATFORM,9c5d55eb5f26d051efad9b4f1ea7bb7fb12b11345b23f310141e39452c6a71c5,2,175247|175246
cross_project,2,CDT|PLATFORM,c3fb13016af1a4f4efba26d24a3f2f92fd01f1951731bc42041744fc8540927f,2,60009|60016
cross_project,2,EQUINOX|JDT,62e555715714a42a2ed64172c5cfc43cb244931e393e0651fc2ee247cc4bd9dd,2,40947|40949
cross_project,6,EQUINOX|JDT|MYLYN|PDE|PLATFORM|TPTP,57137c448241b929c1ca31acb5a3e089b59aed120111ef929e45e0fc41795769,22,206730|207811|315295
cross_project,4,EQUINOX|JDT|PDE|PLATFORM,317bac93e75c34bb3d2443a7fb6667a7b001b9e7de59f5858722c548c8d018bd,14,140862|140870|140874
cross_project,3,EQUINOX|JDT|PLATFORM,e65562fa628b488450dff91e22dc7cf1000fcaaca2fe679093f1468598ad2360,10,414252|414239|414240
cross_project,3,EQUINOX|JDT|PLATFORM,0010823d206fa9fe864fdf11ba4408e0f319b8af52b06cfa6e8d6c496ce1c4e6,4,427373|427372|427375
cross_project,2,EQUINOX|PDE,131de2fcdf933e23f9aa1b76dd2c30745aa8d852a4bcbce47c0080651dc318c1,2,483927|483930
cross_project,3,EQUINOX|PDE|PLATFORM,1a2b9a688a4c5c13d4c5d473dbe54129133a464d301d226b4702fbd3ceeb2e4f,6,518574|530018|553294
cross_project,3,EQUINOX|PDE|PLATFORM,23f695a14f6c22b2bc21598264383940eaba0e6197695e0ce4fcc8aea178f934,3,550052|550049|550048
cross_project,2,EQUINOX|PLATFORM,5ccbc3c5b4d595fe4491857df7fe55f6bf1f280fa7fab08b6c0b631b8ab347ef,6,134973|134974|134980
cross_project,2,EQUINOX|PLATFORM,1bee5fb9d49257b9d599fd4dff30e25a7efbdcdb0097cbb7e16814becbb82a99,4,533758|533751|533755
cross_project,2,EQUINOX|PLATFORM,bd4f48f2e24e2447e183fea55b9ea5901dde5a3f574b186878d8f5344ae78572,3,53109|53110|53111
cross_project,2,EQUINOX|PLATFORM,c88ef47fd6dded1785ad3ced25fd5de84b5fe3ec610229b9c54cac39e5c70554,3,578952|578950|578951
cross_project,2,EQUINOX|PLATFORM,1e3d62b536b8eaee9f96931d9155932d31416649b1e40c4b23125714bfc147ad,2,412366|412365
cross_project,2,EQUINOX|PLATFORM,39cd024d26b8c3f8839f1c2f1ae4b14ebd68d4912320ab0244fc6a729de596eb,2,197776|197777
cross_project,2,EQUINOX|PLATFORM,5b79889693006abfd9e735e2d59f7f7583e0ed2d9033ee61e655d6c4f69d9b00,2,195142|195143
cross_project,2,EQUINOX|PLATFORM,a90c351896bc1e48dd5e5b9b97181a85268dff5d8ba334e2e108e7390f0e33d3,2,133399|133398
cross_project,2,EQUINOX|PLATFORM,cd88a210be70c678b417899605d9c231c1e0523232231084bdbbb5ae24cfb0a7,2,560221|560220
cross_project,2,EQUINOX|PLATFORM,d1b9a6f14d3e2bfc1c3d1002d6fca587369a6d440e362468ba2bc5d574a5d84e,2,158920|158922
