development_records,fits_without_truncation,max_length,project,requires_truncation,token_length_max,token_length_mean,token_length_min,truncation_percentage
16905,13031,256,BIRT,3874,23695,408.8986098787341,3,22.916296953564032
15764,10694,256,CDT,5070,32461,376.6489469677747,3,32.161887845724436
10498,6880,256,EQUINOX,3618,24005,423.8808344446561,3,34.46370737283292
42460,28425,256,JDT,14035,139822,453.5110456900612,3,33.054639660857276
7738,5950,256,MYLYN,1788,20772,375.26479710519516,4,23.106745929180665
8728,7295,256,PAPYRUS,1433,21408,318.34601283226397,3,16.418423464711275
12474,8891,256,PDE,3583,38310,373.7263107263107,4,28.72374539041206
85442,59837,256,PLATFORM,25605,51618,464.11401886659957,3,29.967697385360832
7566,5652,256,TPTP,1914,24125,338.2866772402855,4,25.29738302934179
