family,fold,project,partition,task,class,count
within_project,1,JDT,TRAINING,S2,LOWER_IMPACT,9148
within_project,1,JDT,VALIDATION,S6,blocker,103
within_project,1,JDT,VALIDATION,S6,critical,271
within_project,1,JDT,VALIDATION,S6,major,844
within_project,1,JDT,VALIDATION,S6,normal,8240
within_project,1,JDT,VALIDATION,S6,minor,724
within_project,1,JDT,VALIDATION,S6,trivial,210
within_project,1,JDT,VALIDATION,S3,HIGH,1218
within_project,1,JDT,VALIDATION,S3,MEDIUM,8240
within_project,1,JDT,VALIDATION,S3,LOW,934
within_project,1,JDT,VALIDATION,S2,HIGH_IMPACT,1218
within_project,1,JDT,VALIDATION,S2,LOWER_IMPACT,9174
within_project,1,PDE,TRAINING,S6,blocker,54
within_project,1,PDE,TRAINING,S6,critical,158
within_project,1,PDE,TRAINING,S6,major,317
within_project,1,PDE,TRAINING,S6,normal,2462
within_project,1,PDE,TRAINING,S6,minor,96
within_project,1,PDE,TRAINING,S6,trivial,31
within_project,1,PDE,TRAINING,S3,HIGH,529
within_project,1,PDE,TRAINING,S3,MEDIUM,2462
within_project,1,PDE,TRAINING,S3,LOW,127
within_project,1,PDE,TRAINING,S2,HIGH_IMPACT,529
within_project,1,PDE,TRAINING,S2,LOWER_IMPACT,2589
within_project,1,PDE,VALIDATION,S6,blocker,35
within_project,1,PDE,VALIDATION,S6,critical,85
within_project,1,PDE,VALIDATION,S6,major,212
within_project,1,PDE,VALIDATION,S6,normal,2526
within_project,1,PDE,VALIDATION,S6,minor,119
within_project,1,PDE,VALIDATION,S6,trivial,37
within_project,1,PDE,VALIDATION,S3,HIGH,332
within_project,1,PDE,VALIDATION,S3,MEDIUM,2526
within_project,1,PDE,VALIDATION,S3,LOW,156
within_project,1,PDE,VALIDATION,S2,HIGH_IMPACT,332
within_project,1,PDE,VALIDATION,S2,LOWER_IMPACT,2682
within_project,1,PAPYRUS,TRAINING,S6,blocker,30
within_project,1,PAPYRUS,TRAINING,S6,critical,96
within_project,1,PAPYRUS,TRAINING,S6,major,263
within_project,1,PAPYRUS,TRAINING,S6,normal,1717
within_project,1,PAPYRUS,TRAINING,S6,minor,59
within_project,1,PAPYRUS,TRAINING,S6,trivial,17
within_project,1,PAPYRUS,TRAINING,S3,HIGH,389
within_project,1,PAPYRUS,TRAINING,S3,MEDIUM,1717
within_project,1,PAPYRUS,TRAINING,S3,LOW,76
within_project,1,PAPYRUS,TRAINING,S2,HIGH_IMPACT,389
within_project,1,PAPYRUS,TRAINING,S2,LOWER_IMPACT,1793
within_project,1,PAPYRUS,VALIDATION,S6,blocker,22
within_project,1,PAPYRUS,VALIDATION,S6,critical,85
within_project,1,PAPYRUS,VALIDATION,S6,major,312
within_project,1,PAPYRUS,VALIDATION,S6,normal,1605
within_project,1,PAPYRUS,VALIDATION,S6,minor,110
within_project,1,PAPYRUS,VALIDATION,S6,trivial,26
