a2_config_sha256,accuracy,balanced_accuracy,c,class_weight,classifier,configuration_id,development_membership_sha256,encoder_id,experiment_id,feature_count,fit_runtime_seconds,fold,fusion_config_sha256,lexical_feature_count,macro_f1,mpnet_revision,prediction_runtime_seconds,protocol_sha256,random_seed,representation,representation_id,resolved_revision,semantic_feature_count,semantic_weight,stage,status,task,training_rows,validation_rows,warning_count,warning_messages,weighted_f1
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.6732728430436167,0.274361782274902,0.25,BALANCED,LINEARSVC,S6-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,ad35f5b677a78621a276,150768,29.928615834000084,1,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,150000,0.2613986068505682,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.8174149579999721,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S6-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S6,51891,50256,0,,0.6717729206411238
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.6835356402359241,0.29587099963207714,0.25,BALANCED,LINEARSVC,S6-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,f551b1e9a6adde7a71f7,150768,68.70051787500006,2,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,150000,0.2785996309693566,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.7264169579998452,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S6-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S6,103787,49677,0,,0.6809160581125996
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.65827150591538,0.32814413049857943,0.25,BALANCED,LINEARSVC,S6-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,bacec63ab17112284989,150768,831.2888317080001,3,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,150000,0.2928707682053465,e8c3b32edf5434bc2275fc9bab85f82640a19130,4.655634457999895,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S6-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S6,155678,49870,0,,0.6702041575449562
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.6535140082776186,0.4934566727483051,2.0,BALANCED,LOGREG,S3-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,dfe39fad6c7d150013e9,250768,30.046162874999936,1,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,250000,0.46408525918518523,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.10128233300019929,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S3-R5,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S3,51891,50256,0,,0.6731915515669318
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.658493870402802,0.5260887388757807,2.0,BALANCED,LOGREG,S3-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,a3772d1e600c1f888761,250768,69.7948651669999,2,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,250000,0.487860788894364,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.1584969580003417,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S3-R5,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S3,103787,49677,0,,0.6806290868945988
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.6266893924202928,0.5565569110728738,2.0,BALANCED,LOGREG,S3-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,ba2d939b7b07cc3cecb7,250768,97.47802241599993,3,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,250000,0.48838203607996195,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.10298437500023283,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S3-R5,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S3,155678,49870,0,,0.6587788596761013
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.766515440942375,0.6696001161558718,2.0,BALANCED,LOGREG,S2-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,d4a6c145812399a9333b,500768,21.634215333000157,1,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,500000,0.6350932357156798,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.6184188329998506,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S2-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S2,51891,50256,0,,0.785087106680975
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.7940093000785071,0.6661351886070785,2.0,BALANCED,LOGREG,S2-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,1da8751596b71134bd39,500768,52.88184737499978,2,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,500000,0.6431128547484656,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.7265999999999622,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S2-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S2,103787,49677,0,,0.8062811396513515
089f7e6446648fbb67d77408f128ea69cee0928cd2d4b60a791b1eefcc5a40fd,0.7800882293964307,0.6887273917900759,2.0,BALANCED,LOGREG,S2-A2-MPNET,4f62fdf4164594126c421955804b654cd5d5f8f7b46ada345ae0cffa71460d0f,E2,314e0fa878b8ba3edc17,500768,521.0170235830005,3,41a28d75ccd3d377fdb907c093a958704858a33d810d1448b88f1e0e710cb0ef,500000,0.6482795341415497,e8c3b32edf5434bc2275fc9bab85f82640a19130,0.6123467080005867,85faacae1e7f411d68803653388611c37c62730ea9217e9700a0ad6ac41b7cda,20260809,LEXICAL_MPNET,S2-R3,e8c3b32edf5434bc2275fc9bab85f82640a19130,768,1.0,COMPETITIVE,SUCCESS,S2,155678,49870,0,,0.7988045546586374
