c,class_weight,classifier,configuration_id,fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,lexical_feature_count_by_fold,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,representation_id,semantic_feature_count,semantic_weight,std_macro_f1,task
0.25,BALANCED,LINEARSVC,S6-A2-MPNET,0.2613986069|0.2785996310|0.2928707682,,,,,150000|150000|150000,0.6716933297316402,0.29945897080185285,0.27762300200842377,0.6742977120995599,S6-R3,768,1.0,0.012867001416564258,S6
2.0,BALANCED,LOGREG,S3-A2-MPNET,0.4640852592|0.4878607889|0.4883820361,,,,,250000|250000|250000,0.6462324237002378,0.5253674408989865,0.48010936138650373,0.6708664993792106,S3-R5,768,1.0,0.011332749392089246,S3
2.0,BALANCED,LOGREG,S2-A2-MPNET,0.6350932357|0.6431128547|0.6482795341,0.42003976808169924,0.3513505442033935,0.5234721941820478,PASS,500000|500000|500000,0.7802043234724376,0.6748208988510087,0.642161874868565,0.796724266996988,S2-R3,768,1.0,0.005425119881502266,S2
