fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,std_macro_f1,task
0.1954427034|0.1792094955|0.1863761964,,,,,0.4137450478670441,0.2793792720151392,0.1870094650595168,0.4904290562371088,0.006642290343777044,S6
0.3814517150|0.3942569238|0.4017693452,,,,,0.47217718638389156,0.5093572464134501,0.39249266134555905,0.5167340306926183,0.008387927485118308,S3
0.5662795139|0.5726251748|0.5713137353,0.3777328154810946,0.26064398389865434,0.6861959158398401,FAIL,0.6562140477889109,0.6685071143013405,0.570072807996445,0.7039127647746067,0.002735175640435098,S2
