development_records,fits_without_truncation,max_length,project,requires_truncation,token_length_max,token_length_mean,token_length_min,truncation_percentage
16905,12783,256,BIRT,4122,25089,441.89807749186633,3,24.383318544809228
15764,10350,256,CDT,5414,35084,406.81787617356,3,34.34407510784065
10498,6704,256,EQUINOX,3794,26244,458.2428081539341,3,36.14021718422556
42460,27703,256,JDT,14757,152257,488.3391191709845,3,34.75506358926048
7738,5878,256,MYLYN,1860,22615,406.9348668906694,4,24.037218919617473
8728,7221,256,PAPYRUS,1507,23526,343.81106782768103,4,17.26626947754354
12474,8691,256,PDE,3783,43926,401.36940836940835,4,30.327080327080324
85442,58492,256,PLATFORM,26950,55561,502.52454296481824,3,31.541864656726197
7566,5530,256,TPTP,2036,26676,363.0099127676447,4,26.90985989955062
